Potential/V, Current/A
3.088,1.91E-06
3.089,1.91E-06
3.09,1.93E-06
3.091,1.92E-06
3.092,1.92E-06
3.093,1.91E-06
3.094,1.92E-06
3.095,1.91E-06
3.096,1.92E-06
3.097,1.91E-06
3.098,1.93E-06
3.099,1.93E-06
3.1,1.93E-06
3.101,1.91E-06
3.102,1.90E-06
3.103,1.92E-06
3.104,1.92E-06
3.105,1.92E-06
3.106,1.92E-06
3.107,1.90E-06
3.108,1.92E-06
3.109,1.93E-06
3.11,1.92E-06
3.111,1.92E-06
3.112,1.92E-06
3.113,1.92E-06
3.114,1.91E-06
3.115,1.91E-06
3.116,1.92E-06
3.117,1.92E-06
3.118,1.92E-06
3.119,1.91E-06
3.12,1.91E-06
3.121,1.93E-06
3.122,1.93E-06
3.123,1.93E-06
3.124,1.94E-06
3.125,1.93E-06
3.126,1.94E-06
3.127,1.92E-06
3.128,1.93E-06
3.129,1.93E-06
3.13,1.93E-06
3.131,1.93E-06
3.132,1.93E-06
3.133,1.95E-06
3.134,1.93E-06
3.135,1.93E-06
3.136,1.93E-06
3.137,1.94E-06
3.138,1.94E-06
3.139,1.94E-06
3.14,1.94E-06
3.141,1.94E-06
3.142,1.95E-06
3.143,1.95E-06
3.144,1.95E-06
3.145,1.95E-06
3.146,1.94E-06
3.147,1.97E-06
3.148,1.96E-06
3.149,1.97E-06
3.15,1.96E-06
3.151,1.96E-06
3.152,1.95E-06
3.153,1.97E-06
3.154,1.96E-06
3.155,1.96E-06
3.156,1.95E-06
3.157,1.97E-06
3.158,1.97E-06
3.159,1.97E-06
3.16,1.98E-06
3.161,1.98E-06
3.162,1.97E-06
3.163,1.98E-06
3.164,1.97E-06
3.165,1.98E-06
3.166,1.97E-06
3.167,1.97E-06
3.168,1.99E-06
3.169,1.99E-06
3.17,1.98E-06
3.171,2.00E-06
3.172,1.99E-06
3.173,1.99E-06
3.174,2.00E-06
3.175,2.00E-06
3.176,2.00E-06
3.177,2.00E-06
3.178,2.00E-06
3.179,2.00E-06
3.18,2.00E-06
3.181,2.00E-06
3.182,2.00E-06
3.183,2.00E-06
3.184,2.02E-06
3.185,2.01E-06
3.186,2.02E-06
3.187,2.01E-06
3.188,2.02E-06
3.189,2.03E-06
3.19,2.02E-06
3.191,2.02E-06
3.192,2.02E-06
3.193,2.02E-06
3.194,2.03E-06
3.195,2.03E-06
3.196,2.05E-06
3.197,2.04E-06
3.198,2.04E-06
3.199,2.05E-06
3.2,2.05E-06
3.201,2.04E-06
3.202,2.05E-06
3.203,2.07E-06
3.204,2.06E-06
3.205,2.07E-06
3.206,2.08E-06
3.207,2.08E-06
3.208,2.08E-06
3.209,2.07E-06
3.21,2.08E-06
3.211,2.10E-06
3.212,2.09E-06
3.213,2.09E-06
3.214,2.10E-06
3.215,2.11E-06
3.216,2.13E-06
3.217,2.11E-06
3.218,2.13E-06
3.219,2.12E-06
3.22,2.15E-06
3.221,2.13E-06
3.222,2.15E-06
3.223,2.14E-06
3.224,2.16E-06
3.225,2.16E-06
3.226,2.16E-06
3.227,2.18E-06
3.228,2.18E-06
3.229,2.18E-06
3.23,2.20E-06
3.231,2.20E-06
3.232,2.20E-06
3.233,2.22E-06
3.234,2.23E-06
3.235,2.23E-06
3.236,2.23E-06
3.237,2.25E-06
3.238,2.25E-06
3.239,2.27E-06
3.24,2.28E-06
3.241,2.28E-06
3.242,2.28E-06
3.243,2.29E-06
3.244,2.31E-06
3.245,2.30E-06
3.246,2.32E-06
3.247,2.33E-06
3.248,2.36E-06
3.249,2.36E-06
3.25,2.38E-06
3.251,2.39E-06
3.252,2.39E-06
3.253,2.40E-06
3.254,2.41E-06
3.255,2.42E-06
3.256,2.44E-06
3.257,2.44E-06
3.258,2.46E-06
3.259,2.48E-06
3.26,2.48E-06
3.261,2.49E-06
3.262,2.53E-06
3.263,2.53E-06
3.264,2.54E-06
3.265,2.55E-06
